Iteration 1, Training loss 0.6931, Training accuracy 0.5534, Validation accuracy 0.7319
Iteration 14773, Training loss 0.0064, Training accuracy 0.9956, Validation accuracy 0.9685
Iteration 14774, Training loss 0.0139, Training accuracy 0.9886, Validation accuracy 0.9683
Iteration 14775, Training loss 0.0247, Training accuracy 0.9806, Validation accuracy 0.9681
Iteration 14776, Training loss 0.0141, Training accuracy 0.9901, Validation accuracy 0.9681
Iteration 14777, Training loss 0.0721, Training accuracy 0.9543, Validation accuracy 0.9678
Iteration 14778, Training loss 0.0339, Training accuracy 0.9696, Validation accuracy 0.9678
Iteration 14779, Training loss 0.0297, Training accuracy 0.9764, Validation accuracy 0.9675
Iteration 14780, Training loss 0.0197, Training accuracy 0.9835, Validation accuracy 0.9672
Iteration 14781, Training loss 0.0342, Training accuracy 0.9697, Validation accuracy 0.9670
Iteration 14782, Training loss 0.0154, Training accuracy 0.9883, Validation accuracy 0.9669
Iteration 14783, Training loss 0.0130, Training accuracy 0.9885, Validation accuracy 0.9669
Iteration 14784, Training loss 0.0022, Training accuracy 0.9985, Validation accuracy 0.9668
Iteration 14785, Training loss 0.0098, Training accuracy 0.9908, Validation accuracy 0.9666
Iteration 14786, Training loss 0.0254, Training accuracy 0.9804, Validation accuracy 0.9665
Iteration 14787, Training loss 0.0034, Training accuracy 0.9978, Validation accuracy 0.9663
Iteration 14788, Training loss 0.0095, Training accuracy 0.9924, Validation accuracy 0.9659
Iteration 14789, Training loss 0.0071, Training accuracy 0.9929, Validation accuracy 0.9656
Iteration 14790, Training loss 0.0208, Training accuracy 0.9838, Validation accuracy 0.9653
Iteration 14791, Training loss 0.0098, Training accuracy 0.9917, Validation accuracy 0.9650
Iteration 14792, Training loss 0.0270, Training accuracy 0.9800, Validation accuracy 0.9648
Iteration 14793, Training loss 0.0275, Training accuracy 0.9761, Validation accuracy 0.9648
Iteration 14794, Training loss 0.0182, Training accuracy 0.9901, Validation accuracy 0.9647
Iteration 14795, Training loss 0.0508, Training accuracy 0.9607, Validation accuracy 0.9648
Iteration 14796, Training loss 0.0188, Training accuracy 0.9847, Validation accuracy 0.9648
Iteration 14797, Training loss 0.0000, Training accuracy 1.0000, Validation accuracy 0.9648
Iteration 14798, Training loss 0.0111, Training accuracy 0.9911, Validation accuracy 0.9648
Iteration 14799, Training loss 0.0106, Training accuracy 0.9908, Validation accuracy 0.9649
Iteration 14800, Training loss 0.0161, Training accuracy 0.9876, Validation accuracy 0.9646
Iteration 14801, Training loss 0.0238, Training accuracy 0.9804, Validation accuracy 0.9645
Iteration 14802, Training loss 0.0517, Training accuracy 0.9584, Validation accuracy 0.9646
Iteration 14803, Training loss 0.0040, Training accuracy 0.9963, Validation accuracy 0.9649
Iteration 14804, Training loss 0.0129, Training accuracy 0.9889, Validation accuracy 0.9654
Iteration 14805, Training loss 0.0151, Training accuracy 0.9879, Validation accuracy 0.9657
Iteration 14806, Training loss 0.0203, Training accuracy 0.9778, Validation accuracy 0.9659
Iteration 14807, Training loss 0.0037, Training accuracy 0.9961, Validation accuracy 0.9660
Iteration 14808, Training loss 0.0269, Training accuracy 0.9769, Validation accuracy 0.9662
Iteration 14809, Training loss 0.0421, Training accuracy 0.9625, Validation accuracy 0.9663
Iteration 14810, Training loss 0.0272, Training accuracy 0.9793, Validation accuracy 0.9664
Iteration 14811, Training loss 0.0308, Training accuracy 0.9753, Validation accuracy 0.9667
Iteration 14812, Training loss 0.0092, Training accuracy 0.9922, Validation accuracy 0.9669
Iteration 14813, Training loss 0.0000, Training accuracy 1.0000, Validation accuracy 0.9671
Iteration 14814, Training loss 0.0153, Training accuracy 0.9882, Validation accuracy 0.9673
Iteration 14815, Training loss 0.0000, Training accuracy 1.0000, Validation accuracy 0.9675
Iteration 14816, Training loss 0.0252, Training accuracy 0.9790, Validation accuracy 0.9677
Iteration 14817, Training loss 0.0149, Training accuracy 0.9886, Validation accuracy 0.9679
Iteration 14818, Training loss 0.0123, Training accuracy 0.9894, Validation accuracy 0.9680
Iteration 14819, Training loss 0.0125, Training accuracy 0.9902, Validation accuracy 0.9682
Iteration 14820, Training loss 0.0242, Training accuracy 0.9803, Validation accuracy 0.9683
Iteration 14821, Training loss 0.0211, Training accuracy 0.9817, Validation accuracy 0.9684
Iteration 14822, Training loss 0.0007, Training accuracy 0.9999, Validation accuracy 0.9684
Iteration 14823, Training loss 0.0649, Training accuracy 0.9518, Validation accuracy 0.9683
Iteration 14824, Training loss 0.0226, Training accuracy 0.9803, Validation accuracy 0.9684
Iteration 14825, Training loss 0.0128, Training accuracy 0.9891, Validation accuracy 0.9683
Iteration 14826, Training loss 0.0092, Training accuracy 0.9923, Validation accuracy 0.9683
Iteration 14827, Training loss 0.0504, Training accuracy 0.9604, Validation accuracy 0.9686
Iteration 14828, Training loss 0.0704, Training accuracy 0.9375, Validation accuracy 0.9689
Iteration 14829, Training loss 0.0284, Training accuracy 0.9782, Validation accuracy 0.9692
Iteration 14830, Training loss 0.0226, Training accuracy 0.9804, Validation accuracy 0.9694
Iteration 14831, Training loss 0.0089, Training accuracy 0.9923, Validation accuracy 0.9696
Iteration 14832, Training loss 0.0141, Training accuracy 0.9870, Validation accuracy 0.9697
Iteration 14833, Training loss 0.0201, Training accuracy 0.9839, Validation accuracy 0.9696
Iteration 14834, Training loss 0.0318, Training accuracy 0.9723, Validation accuracy 0.9697
Iteration 14835, Training loss 0.0288, Training accuracy 0.9740, Validation accuracy 0.9697
Iteration 14836, Training loss 0.0227, Training accuracy 0.9803, Validation accuracy 0.9698
Iteration 14837, Training loss 0.0093, Training accuracy 0.9919, Validation accuracy 0.9697
Iteration 14838, Training loss 0.0131, Training accuracy 0.9882, Validation accuracy 0.9699
Iteration 14839, Training loss 0.0275, Training accuracy 0.9756, Validation accuracy 0.9700
Iteration 14840, Training loss 0.0047, Training accuracy 0.9951, Validation accuracy 0.9701
Iteration 14841, Training loss 0.0198, Training accuracy 0.9857, Validation accuracy 0.9703
Iteration 14842, Training loss 0.0048, Training accuracy 0.9964, Validation accuracy 0.9702
Iteration 14843, Training loss 0.0214, Training accuracy 0.9836, Validation accuracy 0.9700
Iteration 14844, Training loss 0.0160, Training accuracy 0.9870, Validation accuracy 0.9700
Iteration 14845, Training loss 0.0194, Training accuracy 0.9850, Validation accuracy 0.9700
Iteration 14846, Training loss 0.0037, Training accuracy 0.9972, Validation accuracy 0.9698
Iteration 14847, Training loss 0.0229, Training accuracy 0.9798, Validation accuracy 0.9697
Iteration 14848, Training loss 0.0753, Training accuracy 0.9360, Validation accuracy 0.9698
Iteration 14849, Training loss 0.0071, Training accuracy 0.9938, Validation accuracy 0.9700
Iteration 14850, Training loss 0.0115, Training accuracy 0.9901, Validation accuracy 0.9701
Iteration 14851, Training loss 0.0228, Training accuracy 0.9814, Validation accuracy 0.9703
Iteration 14852, Training loss 0.0234, Training accuracy 0.9806, Validation accuracy 0.9703
Iteration 14853, Training loss 0.0126, Training accuracy 0.9886, Validation accuracy 0.9703
Iteration 14854, Training loss 0.0089, Training accuracy 0.9944, Validation accuracy 0.9701
Iteration 14855, Training loss 0.0162, Training accuracy 0.9863, Validation accuracy 0.9700
Iteration 14856, Training loss 0.0171, Training accuracy 0.9883, Validation accuracy 0.9697
Iteration 14857, Training loss 0.0186, Training accuracy 0.9816, Validation accuracy 0.9695
Iteration 14858, Training loss 0.0015, Training accuracy 0.9990, Validation accuracy 0.9687
Iteration 14859, Training loss 0.0026, Training accuracy 0.9981, Validation accuracy 0.9681
Iteration 14860, Training loss 0.0000, Training accuracy 1.0000, Validation accuracy 0.9676
Iteration 14861, Training loss 0.0236, Training accuracy 0.9798, Validation accuracy 0.9669
Iteration 14862, Training loss 0.0174, Training accuracy 0.9855, Validation accuracy 0.9663
Iteration 14863, Training loss 0.0300, Training accuracy 0.9755, Validation accuracy 0.9665
Iteration 14864, Training loss 0.0199, Training accuracy 0.9826, Validation accuracy 0.9671
Iteration 14865, Training loss 0.0366, Training accuracy 0.9707, Validation accuracy 0.9684
Iteration 14866, Training loss 0.0187, Training accuracy 0.9831, Validation accuracy 0.9691
Iteration 14867, Training loss 0.0108, Training accuracy 0.9910, Validation accuracy 0.9697
Iteration 14868, Training loss 0.0122, Training accuracy 0.9899, Validation accuracy 0.9697
Iteration 14869, Training loss 0.0241, Training accuracy 0.9823, Validation accuracy 0.9693
Iteration 14870, Training loss 0.0093, Training accuracy 0.9905, Validation accuracy 0.9685
Iteration 14871, Training loss 0.0228, Training accuracy 0.9807, Validation accuracy 0.9675
Iteration 14872, Training loss 0.0398, Training accuracy 0.9641, Validation accuracy 0.9675
Iteration 14873, Training loss 0.0296, Training accuracy 0.9764, Validation accuracy 0.9678
Iteration 14874, Training loss 0.0003, Training accuracy 0.9997, Validation accuracy 0.9681
Iteration 14875, Training loss 0.0314, Training accuracy 0.9743, Validation accuracy 0.9684
Iteration 14876, Training loss 0.0136, Training accuracy 0.9895, Validation accuracy 0.9687
Iteration 14877, Training loss 0.0178, Training accuracy 0.9841, Validation accuracy 0.9686
Iteration 14878, Training loss 0.0275, Training accuracy 0.9810, Validation accuracy 0.9682
Iteration 14879, Training loss 0.0092, Training accuracy 0.9907, Validation accuracy 0.9675
Iteration 14880, Training loss 0.0189, Training accuracy 0.9839, Validation accuracy 0.9670
Iteration 14881, Training loss 0.0000, Training accuracy 1.0000, Validation accuracy 0.9663
Iteration 14882, Training loss 0.0485, Training accuracy 0.9602, Validation accuracy 0.9661
Iteration 14883, Training loss 0.0362, Training accuracy 0.9710, Validation accuracy 0.9661
Iteration 14884, Training loss 0.0529, Training accuracy 0.9570, Validation accuracy 0.9659
Iteration 14885, Training loss 0.0363, Training accuracy 0.9694, Validation accuracy 0.9662
Iteration 14886, Training loss 0.0297, Training accuracy 0.9775, Validation accuracy 0.9667
Iteration 14887, Training loss 0.0322, Training accuracy 0.9720, Validation accuracy 0.9673
Iteration 14888, Training loss 0.0314, Training accuracy 0.9746, Validation accuracy 0.9675
Iteration 14889, Training loss 0.0184, Training accuracy 0.9847, Validation accuracy 0.9675
Iteration 14890, Training loss 0.0294, Training accuracy 0.9761, Validation accuracy 0.9673
Iteration 14891, Training loss 0.0066, Training accuracy 0.9951, Validation accuracy 0.9668
Iteration 14892, Training loss 0.0284, Training accuracy 0.9762, Validation accuracy 0.9661
Iteration 14893, Training loss 0.0048, Training accuracy 0.9960, Validation accuracy 0.9655
Iteration 14894, Training loss 0.0010, Training accuracy 0.9993, Validation accuracy 0.9649
Iteration 14895, Training loss 0.0081, Training accuracy 0.9922, Validation accuracy 0.9642
Iteration 14896, Training loss 0.1259, Training accuracy 0.9176, Validation accuracy 0.9637
Iteration 14897, Training loss 0.0137, Training accuracy 0.9892, Validation accuracy 0.9631
Iteration 14898, Training loss 0.0136, Training accuracy 0.9898, Validation accuracy 0.9624
Iteration 14899, Training loss 0.0386, Training accuracy 0.9665, Validation accuracy 0.9620
Iteration 14900, Training loss 0.0047, Training accuracy 0.9951, Validation accuracy 0.9613
Iteration 14901, Training loss 0.0357, Training accuracy 0.9707, Validation accuracy 0.9611
Iteration 14902, Training loss 0.0000, Training accuracy 1.0000, Validation accuracy 0.9607
Iteration 14903, Training loss 0.0398, Training accuracy 0.9671, Validation accuracy 0.9607
Iteration 14904, Training loss 0.0128, Training accuracy 0.9905, Validation accuracy 0.9606
Iteration 14905, Training loss 0.0353, Training accuracy 0.9687, Validation accuracy 0.9610
Iteration 14906, Training loss 0.0376, Training accuracy 0.9697, Validation accuracy 0.9615
Iteration 14907, Training loss 0.0210, Training accuracy 0.9820, Validation accuracy 0.9618
Iteration 14908, Training loss 0.0329, Training accuracy 0.9772, Validation accuracy 0.9621
Iteration 14909, Training loss 0.0296, Training accuracy 0.9753, Validation accuracy 0.9619
Iteration 14910, Training loss 0.0270, Training accuracy 0.9771, Validation accuracy 0.9622
Iteration 14911, Training loss 0.0047, Training accuracy 0.9969, Validation accuracy 0.9621
Iteration 14912, Training loss 0.0062, Training accuracy 0.9945, Validation accuracy 0.9622
Iteration 14913, Training loss 0.0142, Training accuracy 0.9892, Validation accuracy 0.9623
Iteration 14914, Training loss 0.0329, Training accuracy 0.9733, Validation accuracy 0.9629
Iteration 14915, Training loss 0.0255, Training accuracy 0.9782, Validation accuracy 0.9638
Iteration 14916, Training loss 0.0097, Training accuracy 0.9929, Validation accuracy 0.9643
Iteration 14917, Training loss 0.0236, Training accuracy 0.9798, Validation accuracy 0.9646
Iteration 14918, Training loss 0.0063, Training accuracy 0.9961, Validation accuracy 0.9649
Iteration 14919, Training loss 0.0329, Training accuracy 0.9710, Validation accuracy 0.9652
Iteration 14920, Training loss 0.0773, Training accuracy 0.9441, Validation accuracy 0.9658
Iteration 14921, Training loss 0.0107, Training accuracy 0.9899, Validation accuracy 0.9661
Iteration 14922, Training loss 0.0142, Training accuracy 0.9885, Validation accuracy 0.9660
Iteration 14923, Training loss 0.0103, Training accuracy 0.9905, Validation accuracy 0.9657
Iteration 14924, Training loss 0.0216, Training accuracy 0.9810, Validation accuracy 0.9653
Iteration 14925, Training loss 0.0592, Training accuracy 0.9531, Validation accuracy 0.9646
Iteration 14926, Training loss 0.0026, Training accuracy 0.9975, Validation accuracy 0.9639
Iteration 14927, Training loss 0.0345, Training accuracy 0.9729, Validation accuracy 0.9635
Iteration 14928, Training loss 0.0357, Training accuracy 0.9717, Validation accuracy 0.9641
Iteration 14929, Training loss 0.0166, Training accuracy 0.9894, Validation accuracy 0.9644
Iteration 14930, Training loss 0.0117, Training accuracy 0.9908, Validation accuracy 0.9649
Iteration 14931, Training loss 0.0186, Training accuracy 0.9851, Validation accuracy 0.9655
Iteration 14932, Training loss 0.0377, Training accuracy 0.9677, Validation accuracy 0.9660
Iteration 14933, Training loss 0.0272, Training accuracy 0.9775, Validation accuracy 0.9665
Iteration 14934, Training loss 0.0266, Training accuracy 0.9759, Validation accuracy 0.9669
Iteration 14935, Training loss 0.0209, Training accuracy 0.9845, Validation accuracy 0.9670
Iteration 14936, Training loss 0.0207, Training accuracy 0.9812, Validation accuracy 0.9671
Iteration 14937, Training loss 0.0125, Training accuracy 0.9889, Validation accuracy 0.9673
Iteration 14938, Training loss 0.0104, Training accuracy 0.9919, Validation accuracy 0.9675
Iteration 14939, Training loss 0.0206, Training accuracy 0.9833, Validation accuracy 0.9675
Iteration 14940, Training loss 0.0070, Training accuracy 0.9954, Validation accuracy 0.9675
Iteration 14941, Training loss 0.0240, Training accuracy 0.9791, Validation accuracy 0.9676
Iteration 14942, Training loss 0.0099, Training accuracy 0.9908, Validation accuracy 0.9675
Iteration 14943, Training loss 0.0295, Training accuracy 0.9746, Validation accuracy 0.9674
Iteration 14944, Training loss 0.0172, Training accuracy 0.9857, Validation accuracy 0.9673
Iteration 14945, Training loss 0.0035, Training accuracy 0.9979, Validation accuracy 0.9673
Iteration 14946, Training loss 0.0291, Training accuracy 0.9765, Validation accuracy 0.9674
Iteration 14947, Training loss 0.0218, Training accuracy 0.9804, Validation accuracy 0.9675
Iteration 14948, Training loss 0.0325, Training accuracy 0.9743, Validation accuracy 0.9677
Iteration 14949, Training loss 0.0309, Training accuracy 0.9706, Validation accuracy 0.9678
Iteration 14950, Training loss 0.0240, Training accuracy 0.9803, Validation accuracy 0.9677
Iteration 14951, Training loss 0.0285, Training accuracy 0.9737, Validation accuracy 0.9676
Iteration 14952, Training loss 0.0370, Training accuracy 0.9698, Validation accuracy 0.9671
Iteration 14953, Training loss 0.0006, Training accuracy 0.9994, Validation accuracy 0.9664
Iteration 14954, Training loss 0.0159, Training accuracy 0.9864, Validation accuracy 0.9656
Iteration 14955, Training loss 0.0118, Training accuracy 0.9908, Validation accuracy 0.9649
Iteration 14956, Training loss 0.0014, Training accuracy 0.9984, Validation accuracy 0.9642
Iteration 14957, Training loss 0.0153, Training accuracy 0.9854, Validation accuracy 0.9639
Iteration 14958, Training loss 0.0198, Training accuracy 0.9841, Validation accuracy 0.9640
Iteration 14959, Training loss 0.0000, Training accuracy 1.0000, Validation accuracy 0.9640
Iteration 14960, Training loss 0.0006, Training accuracy 0.9996, Validation accuracy 0.9640
Iteration 14961, Training loss 0.0168, Training accuracy 0.9838, Validation accuracy 0.9641
Iteration 14962, Training loss 0.0453, Training accuracy 0.9621, Validation accuracy 0.9645
Iteration 14963, Training loss 0.0206, Training accuracy 0.9817, Validation accuracy 0.9652
Iteration 14964, Training loss 0.0301, Training accuracy 0.9769, Validation accuracy 0.9659
Iteration 14965, Training loss 0.0211, Training accuracy 0.9828, Validation accuracy 0.9665
Iteration 14966, Training loss 0.0002, Training accuracy 1.0000, Validation accuracy 0.9668
Iteration 14967, Training loss 0.0129, Training accuracy 0.9882, Validation accuracy 0.9668
Iteration 14968, Training loss 0.0346, Training accuracy 0.9701, Validation accuracy 0.9670
Iteration 14969, Training loss 0.0210, Training accuracy 0.9844, Validation accuracy 0.9670
Iteration 14970, Training loss 0.0511, Training accuracy 0.9587, Validation accuracy 0.9669
Iteration 14971, Training loss 0.0213, Training accuracy 0.9813, Validation accuracy 0.9668
Iteration 14972, Training loss 0.0000, Training accuracy 1.0000, Validation accuracy 0.9666
Iteration 14973, Training loss 0.0013, Training accuracy 0.9985, Validation accuracy 0.9663
Iteration 14974, Training loss 0.0007, Training accuracy 0.9994, Validation accuracy 0.9661
Iteration 14975, Training loss 0.0001, Training accuracy 1.0000, Validation accuracy 0.9658
Iteration 14976, Training loss 0.0266, Training accuracy 0.9784, Validation accuracy 0.9658
Iteration 14977, Training loss 0.0094, Training accuracy 0.9910, Validation accuracy 0.9660
Iteration 14978, Training loss 0.0391, Training accuracy 0.9642, Validation accuracy 0.9664
Iteration 14979, Training loss 0.0475, Training accuracy 0.9615, Validation accuracy 0.9670
Iteration 14980, Training loss 0.0095, Training accuracy 0.9919, Validation accuracy 0.9676
Iteration 14981, Training loss 0.0237, Training accuracy 0.9822, Validation accuracy 0.9680
Iteration 14982, Training loss 0.0477, Training accuracy 0.9605, Validation accuracy 0.9682
Iteration 14983, Training loss 0.0222, Training accuracy 0.9806, Validation accuracy 0.9680
Iteration 14984, Training loss 0.0167, Training accuracy 0.9866, Validation accuracy 0.9680
Iteration 14985, Training loss 0.0263, Training accuracy 0.9788, Validation accuracy 0.9675
Iteration 14986, Training loss 0.0215, Training accuracy 0.9832, Validation accuracy 0.9672
Iteration 14987, Training loss 0.0905, Training accuracy 0.9376, Validation accuracy 0.9669
Iteration 14988, Training loss 0.0621, Training accuracy 0.9469, Validation accuracy 0.9670
Iteration 14989, Training loss 0.0000, Training accuracy 1.0000, Validation accuracy 0.9669
Iteration 14990, Training loss 0.0213, Training accuracy 0.9806, Validation accuracy 0.9670
Iteration 14991, Training loss 0.0326, Training accuracy 0.9736, Validation accuracy 0.9674
Iteration 14992, Training loss 0.0113, Training accuracy 0.9896, Validation accuracy 0.9680
Iteration 14993, Training loss 0.0643, Training accuracy 0.9492, Validation accuracy 0.9684
Iteration 14994, Training loss 0.0247, Training accuracy 0.9801, Validation accuracy 0.9690
Iteration 14995, Training loss 0.0120, Training accuracy 0.9914, Validation accuracy 0.9694
Iteration 14996, Training loss 0.0334, Training accuracy 0.9716, Validation accuracy 0.9697
Iteration 14997, Training loss 0.0193, Training accuracy 0.9879, Validation accuracy 0.9699
Iteration 14998, Training loss 0.0030, Training accuracy 0.9978, Validation accuracy 0.9698
Iteration 14999, Training loss 0.0167, Training accuracy 0.9876, Validation accuracy 0.9698
Iteration 15000, Training loss 0.0185, Training accuracy 0.9839, Validation accuracy 0.9697
Iteration 15001, Training loss 0.0147, Training accuracy 0.9869, Validation accuracy 0.9698
Iteration 15002, Training loss 0.0320, Training accuracy 0.9723, Validation accuracy 0.9699
Iteration 15003, Training loss 0.0467, Training accuracy 0.9648, Validation accuracy 0.9703
Iteration 15004, Training loss 0.0093, Training accuracy 0.9935, Validation accuracy 0.9704
Iteration 15005, Training loss 0.0074, Training accuracy 0.9939, Validation accuracy 0.9705
Iteration 15006, Training loss 0.0199, Training accuracy 0.9836, Validation accuracy 0.9705
Iteration 15007, Training loss 0.0141, Training accuracy 0.9880, Validation accuracy 0.9705
Iteration 15008, Training loss 0.0615, Training accuracy 0.9400, Validation accuracy 0.9704
Iteration 15009, Training loss 0.0246, Training accuracy 0.9774, Validation accuracy 0.9703
Iteration 15010, Training loss 0.0331, Training accuracy 0.9717, Validation accuracy 0.9702
Iteration 15011, Training loss 0.0078, Training accuracy 0.9953, Validation accuracy 0.9700
Iteration 15012, Training loss 0.0125, Training accuracy 0.9898, Validation accuracy 0.9697
Iteration 15013, Training loss 0.0134, Training accuracy 0.9891, Validation accuracy 0.9694
Iteration 15014, Training loss 0.0289, Training accuracy 0.9743, Validation accuracy 0.9690
Iteration 15015, Training loss 0.0051, Training accuracy 0.9958, Validation accuracy 0.9686
Iteration 15016, Training loss 0.0276, Training accuracy 0.9780, Validation accuracy 0.9681
Iteration 15017, Training loss 0.0321, Training accuracy 0.9732, Validation accuracy 0.9677
Iteration 15018, Training loss 0.0081, Training accuracy 0.9935, Validation accuracy 0.9673
Iteration 15019, Training loss 0.0191, Training accuracy 0.9817, Validation accuracy 0.9668
Iteration 15020, Training loss 0.0321, Training accuracy 0.9746, Validation accuracy 0.9668
Iteration 15021, Training loss 0.0158, Training accuracy 0.9861, Validation accuracy 0.9671
Iteration 15022, Training loss 0.0093, Training accuracy 0.9914, Validation accuracy 0.9677
Iteration 15023, Training loss 0.0380, Training accuracy 0.9658, Validation accuracy 0.9686
Iteration 15024, Training loss 0.0268, Training accuracy 0.9756, Validation accuracy 0.9694
Iteration 15025, Training loss 0.0395, Training accuracy 0.9639, Validation accuracy 0.9698
Iteration 15026, Training loss 0.0301, Training accuracy 0.9726, Validation accuracy 0.9697
Iteration 15027, Training loss 0.0363, Training accuracy 0.9696, Validation accuracy 0.9696
Iteration 15028, Training loss 0.0169, Training accuracy 0.9872, Validation accuracy 0.9696
Iteration 15029, Training loss 0.0146, Training accuracy 0.9864, Validation accuracy 0.9695
Iteration 15030, Training loss 0.0121, Training accuracy 0.9923, Validation accuracy 0.9695
Iteration 15031, Training loss 0.0183, Training accuracy 0.9851, Validation accuracy 0.9695
Iteration 15032, Training loss 0.0198, Training accuracy 0.9829, Validation accuracy 0.9696
Iteration 15033, Training loss 0.0226, Training accuracy 0.9814, Validation accuracy 0.9698
Iteration 15034, Training loss 0.0566, Training accuracy 0.9541, Validation accuracy 0.9701
Iteration 15035, Training loss 0.0021, Training accuracy 0.9981, Validation accuracy 0.9702
Iteration 15036, Training loss 0.0231, Training accuracy 0.9803, Validation accuracy 0.9700
Iteration 15037, Training loss 0.0006, Training accuracy 0.9996, Validation accuracy 0.9696
Iteration 15038, Training loss 0.0074, Training accuracy 0.9935, Validation accuracy 0.9691
Iteration 15039, Training loss 0.0346, Training accuracy 0.9710, Validation accuracy 0.9687
Iteration 15040, Training loss 0.0194, Training accuracy 0.9825, Validation accuracy 0.9683
Iteration 15041, Training loss 0.0024, Training accuracy 0.9976, Validation accuracy 0.9681
Iteration 15042, Training loss 0.0230, Training accuracy 0.9810, Validation accuracy 0.9682
Iteration 15043, Training loss 0.0098, Training accuracy 0.9904, Validation accuracy 0.9684
Iteration 15044, Training loss 0.0285, Training accuracy 0.9768, Validation accuracy 0.9688
Iteration 15045, Training loss 0.0040, Training accuracy 0.9963, Validation accuracy 0.9691
Iteration 15046, Training loss 0.0212, Training accuracy 0.9829, Validation accuracy 0.9696
Iteration 15047, Training loss 0.0229, Training accuracy 0.9823, Validation accuracy 0.9699
Iteration 15048, Training loss 0.0183, Training accuracy 0.9833, Validation accuracy 0.9698
Iteration 15049, Training loss 0.0483, Training accuracy 0.9597, Validation accuracy 0.9693
Iteration 15050, Training loss 0.0326, Training accuracy 0.9729, Validation accuracy 0.9691
Iteration 15051, Training loss 0.0124, Training accuracy 0.9870, Validation accuracy 0.9687
Iteration 15052, Training loss 0.0258, Training accuracy 0.9798, Validation accuracy 0.9684
Iteration 15053, Training loss 0.0383, Training accuracy 0.9657, Validation accuracy 0.9681
Iteration 15054, Training loss 0.0062, Training accuracy 0.9956, Validation accuracy 0.9677
Iteration 15055, Training loss 0.0401, Training accuracy 0.9693, Validation accuracy 0.9676
Iteration 15056, Training loss 0.0111, Training accuracy 0.9901, Validation accuracy 0.9674
Iteration 15057, Training loss 0.0093, Training accuracy 0.9939, Validation accuracy 0.9672
Iteration 15058, Training loss 0.0113, Training accuracy 0.9907, Validation accuracy 0.9672
Iteration 15059, Training loss 0.0174, Training accuracy 0.9842, Validation accuracy 0.9669
Iteration 15060, Training loss 0.0160, Training accuracy 0.9885, Validation accuracy 0.9662
Iteration 15061, Training loss 0.0000, Training accuracy 1.0000, Validation accuracy 0.9656
Iteration 15062, Training loss 0.0059, Training accuracy 0.9956, Validation accuracy 0.9648
Iteration 15063, Training loss 0.0162, Training accuracy 0.9861, Validation accuracy 0.9646
Iteration 15064, Training loss 0.0072, Training accuracy 0.9932, Validation accuracy 0.9642
Iteration 15065, Training loss 0.0128, Training accuracy 0.9902, Validation accuracy 0.9641
Iteration 15066, Training loss 0.0145, Training accuracy 0.9877, Validation accuracy 0.9641
Iteration 15067, Training loss 0.0197, Training accuracy 0.9829, Validation accuracy 0.9642
Iteration 15068, Training loss 0.0098, Training accuracy 0.9920, Validation accuracy 0.9642
Iteration 15069, Training loss 0.0000, Training accuracy 1.0000, Validation accuracy 0.9643
Iteration 15070, Training loss 0.0210, Training accuracy 0.9842, Validation accuracy 0.9645
Iteration 15071, Training loss 0.0123, Training accuracy 0.9888, Validation accuracy 0.9647
Iteration 15072, Training loss 0.0246, Training accuracy 0.9778, Validation accuracy 0.9651
Iteration 15073, Training loss 0.0000, Training accuracy 1.0000, Validation accuracy 0.9654
Iteration 15074, Training loss 0.0219, Training accuracy 0.9826, Validation accuracy 0.9658
Iteration 15075, Training loss 0.0107, Training accuracy 0.9905, Validation accuracy 0.9660
Iteration 15076, Training loss 0.0005, Training accuracy 1.0000, Validation accuracy 0.9663
Iteration 15077, Training loss 0.0000, Training accuracy 1.0000, Validation accuracy 0.9663
Iteration 15078, Training loss 0.0391, Training accuracy 0.9668, Validation accuracy 0.9664
Iteration 15079, Training loss 0.0181, Training accuracy 0.9838, Validation accuracy 0.9666
Iteration 15080, Training loss 0.0164, Training accuracy 0.9866, Validation accuracy 0.9666
Iteration 15081, Training loss 0.0137, Training accuracy 0.9876, Validation accuracy 0.9666
Iteration 15082, Training loss 0.0000, Training accuracy 1.0000, Validation accuracy 0.9665
Iteration 15083, Training loss 0.0038, Training accuracy 0.9972, Validation accuracy 0.9665
Iteration 15084, Training loss 0.0448, Training accuracy 0.9670, Validation accuracy 0.9665
Iteration 15085, Training loss 0.0089, Training accuracy 0.9929, Validation accuracy 0.9664
Iteration 15086, Training loss 0.0456, Training accuracy 0.9622, Validation accuracy 0.9666
Iteration 15087, Training loss 0.0114, Training accuracy 0.9888, Validation accuracy 0.9670
Iteration 15088, Training loss 0.0223, Training accuracy 0.9833, Validation accuracy 0.9672
Iteration 15089, Training loss 0.0077, Training accuracy 0.9933, Validation accuracy 0.9670
Iteration 15090, Training loss 0.0465, Training accuracy 0.9599, Validation accuracy 0.9667
Iteration 15091, Training loss 0.0044, Training accuracy 0.9976, Validation accuracy 0.9660
Iteration 15092, Training loss 0.0084, Training accuracy 0.9932, Validation accuracy 0.9654
Iteration 15093, Training loss 0.0017, Training accuracy 0.9993, Validation accuracy 0.9643
Iteration 15094, Training loss 0.0174, Training accuracy 0.9876, Validation accuracy 0.9633
Iteration 15095, Training loss 0.0243, Training accuracy 0.9775, Validation accuracy 0.9627
Iteration 15096, Training loss 0.0026, Training accuracy 0.9984, Validation accuracy 0.9624
